# SITES  x,y,z in m; axis type [1..4]; axis offset in m;  	name
#
# Prior to 2 Feb 1996 reference was
#-4637495.000D00, 2677459.000D00, -3454000.000D00, 3,  0.	$LBAREF
# now close to earth centre - CALC8 does not allow (0.0,0.0,z) - hence
#  0.001D00, 0.000D00, 0.000D00,                    3,  0.	$LBAREF
# Now with CALC9, ggeocentre allowed - hence
  0.000D00, 0.000D00, 0.000D00,                    3,  0.       $LBAREF
#
#-4554231.656D00, 2816759.097D00, -3454036.085D00, 3,  0.	$PKS
# changed to ( 5 Sep 1994 )
#-4554231.533D00, 2816759.109D00, -3454036.323D00, 3,  0.	$PKS
# changed to ( 4 Jul 1995 )
-4554231.656D00, 2816759.097D00, -3454036.085D00, 3,  0.        $PKS
#
# Imaginary antenna - at Parkes - for testing
#-4554231.656D00, 2816759.097D00, -3454036.085D00, 3,  0.        $PQS
#
#-4682768.100D00, 2802618.800D00, -3291759.200D00, 3,  0.	$MOP
# changed to ( 4 Jul 1995 )
# -4682767.900D00, 2802617.500D00, -3291765.600D00, 3,  0.        $MOP
# changed 17-Nov-1997 JER
#-4682768.780D00, 2802618.190D00, -3291759.540D00, 3,  0.        $MOP
# Revised 15-Apr-1998; v088d_215_1600 re-analysis after phase-model fix - JER
-4682768.630D00, 2802619.060D00, -3291759.900D00, 3,  0.        $MOPRA
# 
# Revised CAT positions inserted based on v088d_215_1600 re-analysis 
# after 31-Mar-1998 correlator mods. (CAT21 updated 15-Apr-1998).
# JER 29-Apr-1998, 
-4752447.299D00, 2790328.781D00, -3200491.700D00, 3,  0.      $CAT01
#-4752431.762D00, 2790355.157D00, -3200491.700D00, 3,  0.      $CAT02
#-4752416.225D00, 2790381.534D00, -3200491.700D00, 3,  0.      $CAT03
#-4752400.688D00, 2790407.911D00, -3200491.700D00, 3,  0.      $CAT04
#-4752385.151D00, 2790434.287D00, -3200491.700D00, 3,  0.      $CAT05
#-4752369.614D00, 2790460.663D00, -3200491.700D00, 3,  0.      $CAT06
#-4752354.077D00, 2790487.039D00, -3200491.700D00, 3,  0.      $CAT07
#-4752338.540D00, 2790513.416D00, -3200491.700D00, 3,  0.      $CAT08
#-4752323.003D00, 2790539.792D00, -3200491.700D00, 3,  0.      $CAT09
#-4752198.707D00, 2790750.803D00, -3200491.700D00, 3,  0.      $CAT10
#-4752097.717D00, 2790922.250D00, -3200491.700D00, 3,  0.      $CAT11
#-4751950.116D00, 2791172.825D00, -3200491.700D00, 3,  0.      $CAT12
#-4751794.746D00, 2791436.588D00, -3200491.700D00, 3,  0.      $CAT13
-4751685.988D00, 2791621.223D00, -3200491.700D00, 3,  0.      $CAT14
-4751670.451D00, 2791647.599D00, -3200491.700D00, 3,  0.      $CAT15
-4751654.914D00, 2791673.975D00, -3200491.700D00, 3,  0.      $CAT16
-4751600.535D00, 2791766.292D00, -3200491.700D00, 3,  0.      $CAT17
-4751592.766D00, 2791779.480D00, -3200491.700D00, 3,  0.      $CAT18
-4751584.997D00, 2791792.669D00, -3200491.700D00, 3,  0.      $CAT19
-4751577.229D00, 2791805.857D00, -3200491.700D00, 3,  0.      $CAT20
-4751569.460D00, 2791819.045D00, -3200491.700D00, 3,  0.      $CAT21
#-4751476.238D00, 2791977.304D00, -3200491.700D00, 3,  0.      $CAT125
-4751452.933D00, 2792016.869D00, -3200491.700D00, 3,  0.      $CAT22
-4751445.164D00, 2792030.057D00, -3200491.700D00, 3,  0.      $CAT23
#-4751359.712D00, 2792175.127D00, -3200491.700D00, 3,  0.      $CAT24
#-4751305.332D00, 2792267.444D00, -3200491.700D00, 3,  0.      $CAT25
#-4751297.564D00, 2792280.632D00, -3200491.700D00, 3,  0.      $CAT26
#-4751181.036D00, 2792478.455D00, -3200491.700D00, 3,  0.      $CAT27
#-4751142.194D00, 2792544.396D00, -3200491.700D00, 3,  0.      $CAT28
#-4751111.120D00, 2792597.148D00, -3200491.700D00, 3,  0.      $CAT29
#-4751103.351D00, 2792610.336D00, -3200491.700D00, 3,  0.      $CAT30
#-4751033.436D00, 2792729.030D00, -3200491.700D00, 3,  0.      $CAT31
#-4750979.056D00, 2792821.348D00, -3200491.700D00, 3,  0.      $CAT32
#-4750971.288D00, 2792834.536D00, -3200491.700D00, 3,  0.      $CAT33
#-4750932.445D00, 2792900.477D00, -3200491.700D00, 3,  0.      $CAT34
#-4750924.677D00, 2792913.665D00, -3200491.700D00, 3,  0.      $CAT35
#-4749433.128D00, 2795445.796D00, -3200491.700D00, 3,  0.      $CAT36
